"Data set title: Christopher B. Craft. 2017. Tidal forest litterfall collection in eight traps from October 2014 to October 2017. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCED-1711b; http://gce-lter.marsci.uga.edu/public/app/dataset_details.asp?accession=PLT-GCED-1711b)",,,,,,
,,,,,,,
"Site_Code","Trap","DateRemoved","Flag_DateRemoved","SampleDate","Flag_SampleDate","Litterfall_Weight"
"GCE11",6,12/12/2016,"",12/23/2016,"",12.09
"GCE11",7,12/12/2016,"",12/23/2016,"",13.42
"GCE11",8,12/12/2016,"",12/23/2016,"",15.88
"GCE11",1,02/24/2017,"",03/02/2017,"",4.11
"GCE11",2,02/24/2017,"",03/02/2017,"",7.71
"GCE11",3,02/24/2017,"",03/02/2017,"",5.98
"GCE11",4,02/24/2017,"",03/02/2017,"",8.44
"GCE11",5,02/24/2017,"",03/02/2017,"",7.98
"GCE11",6,02/24/2017,"",03/02/2017,"",8.25
"GCE11",7,02/24/2017,"",03/02/2017,"",3.67
"GCE11",8,02/24/2017,"",03/02/2017,"",10.08
"GCE11",1,09/16/2017,"",09/29/2017,"",66.13
"GCE11",2,09/16/2017,"",09/29/2017,"",136.96
"GCE11",3,09/16/2017,"",09/29/2017,"",73.10
"GCE11",4,09/16/2017,"",09/29/2017,"",83.42
"GCE11",5,09/16/2017,"",09/29/2017,"",79.59
"GCE11",6,09/16/2017,"",09/29/2017,"",104.34
"GCE11",7,09/16/2017,"",09/29/2017,"",95.46
"GCE11",8,09/16/2017,"",09/29/2017,"",184.51
"GCE11",1,10/17/2017,"",10/20/2017,"",17.70
"GCE11",2,10/17/2017,"",10/20/2017,"",35.82
"GCE11",3,10/17/2017,"",10/20/2017,"",30.35
"GCE11",4,10/17/2017,"",10/20/2017,"",26.42
"GCE11",5,10/17/2017,"",10/20/2017,"",26.81
"GCE11",6,10/17/2017,"",10/20/2017,"",32.10
"GCE11",7,10/17/2017,"",10/20/2017,"",32.37
"GCE11",8,10/17/2017,"",10/20/2017,"",26.23
