site_id,plot_id,plot_notes,plot_area_m2,tree_id,species_code,tree_height,dbh,d30,crown_width,notes
MC-10,A,mature,9,11,RM,3.2,5.2,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,12,RM,3,3.6,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,13,RM,2.5,4.2,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,14,RM,3,4.7,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,15,RM,4,5.2,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,A,mature,9,16,LR,1.8,2.7,NA,NA,plot 19; gps 069; measured all in 3x3
MC-10,B,mature,9,1,LR,2.5,2.7,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,2,RM,3.1,4.4,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,3,LR,2,2.4,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,4,RM,3.6,3.7,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,5,RM,3.6,4.3,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,6,LR,2.9,2.4,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,7,RM,2,1.9,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,8,RM,2.1,3,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,9,RM,2.15,2.5,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,10,RM,3.2,6.2,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,11,RM,3,3.4,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,12,LR,1.9,3.6,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,13,RM,2.3,3.3,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,14,RM,3,4,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,15,RM,3,6,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,16,RM,1.7,6,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,17,RM,2.6,3.4,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,18,RM,2.8,2.9,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,19,RM,3.7,4.7,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,20,RM,3.2,3.3,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,21,RM,3.1,3.4,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,22,RM,1.6,2.5,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,23,RM,1.7,1.9,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,24,RM,0.9,2.4,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,25,RM,3.3,3.5,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,26,RM,3.55,4.3,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,27,RM,3.2,3,NA,NA,plot20; gps 070; measured all
MC-10,B,mature,9,28,LR,2.2,1.8,NA,NA,plot20; gps 070; measured all
MC-10,C,mature,9,1,RM,2.5,4.9,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,2,LR,1.2,NA,2.3,NA,plot 21; gps071; measured all
MC-10,C,mature,9,3,RM,1.4,2.2,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,4,RM,1.4,1.8,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,5,LR,1.4,NA,1.6,NA,plot 21; gps071; measured all
MC-10,C,mature,9,6,RM,3.7,5.7,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,7,RM,2.9,4.8,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,8,RM,1.1,2.4,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,9,RM,3.4,4.6,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,10,AG,2.8,2.4,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,11,AG,3.3,2.7,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,12,AG,2.8,2.7,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,13,AG,2.1,1.8,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,14,AG,3.1,4.3,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,15,RM,3.1,5.1,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,16,RM,2.4,4.1,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,17,RM,2.6,3.4,NA,NA,plot 21; gps071; measured all
MC-10,C,mature,9,18,RM,3.1,3.5,NA,NA,plot 21; gps071; measured all
MC-11,A,short,2.25,1,AG,1.52,0.7,2,0.8,plot 24; gps 074
MC-11,A,short,2.25,2,AG,1.3,NA,1.9,1,plot 24; gps 074
MC-11,A,short,2.25,3,AG,1.1,NA,1.2,0.9,plot 24; gps 074
MC-11,A,short,2.25,4,AG,1.56,1,2.5,0.7,plot 24; gps 074
MC-11,A,short,2.25,5,AG,1,NA,2.7,2,plot 24; gps 074
MC-11,A,short,2.25,6,AG,1.4,NA,1.6,1,plot 24; gps 074
MC-11,A,short,2.25,7,AG,1.9,1.2,1.8,0.8,plot 24; gps 074
MC-11,A,short,2.25,8,AG,1.6,1.2,2.1,1.5,plot 24; gps 074
MC-11,A,short,2.25,9,RM,0.85,1.8,NA,0.7,plot 24; gps 074
MC-11,A,short,2.25,10,AG,1.95,1.5,2,0.7,plot 24; gps 074
MC-11,A,short,2.25,11,AG,2.18,1.5,3,0.9,plot 24; gps 074
MC-11,A,short,2.25,12,AG,2.6,2,3,1,plot 24; gps 074
MC-11,A,short,2.25,13,AG,1.2,NA,1.2,0.6,plot 24; gps 074
MC-11,A,short,2.25,14,AG,1.2,NA,1.1,0.8,plot 24; gps 074
MC-11,A,short,2.25,15,RM,1.15,1.7,NA,0.7,plot 24; gps 074
MC-11,A,short,2.25,16,RM,1.52,2,NA,0.7,plot 24; gps 074
MC-11,A,short,2.25,17,AG,1.56,0.7,1.5,1,plot 24; gps 074
MC-11,A,short,2.25,18,AG,1.5,0.5,1.9,1,plot 24; gps 074
MC-11,A,short,2.25,19,AG,1.83,2,3.8,1.75,plot 24; gps 074
MC-11,A,short,2.25,20,AG,1.15,NA,2.2,1,plot 24; gps 074
MC-11,A,short,2.25,21,RM,0.65,1.1,NA,0.5,plot 24; gps 074
MC-11,A,short,2.25,22,AG,1.8,0.9,2.3,0.8,plot 24; gps 074
MC-11,B,short,2.25,1,AG,1.49,0.6,1.8,0.8,plot23; gps 073
MC-11,B,short,2.25,2,AG,2.59,2.2,4,1.3,plot23; gps 073
MC-11,B,short,2.25,3,AG,1.7,0.9,2.2,1.3,plot23; gps 073
MC-11,B,short,2.25,4,AG,1.62,NA,2.1,1.5,plot23; gps 073
MC-11,B,short,2.25,5,AG,1.73,0.6,2.5,0.8,plot23; gps 073
MC-11,B,short,2.25,6,AG,2.31,1.6,4,1.5,plot23; gps 073
MC-11,B,short,2.25,7,AG,1.87,1,2.9,1.7,plot23; gps 073
MC-11,B,short,2.25,8,AG,1.5,1.7,3,2,plot23; gps 073
MC-11,B,short,2.25,9,AG,2.4,2.3,3.7,1.7,plot23; gps 073
MC-11,B,short,2.25,10,AG,2.17,1.1,1.5,0.7,plot23; gps 073
MC-11,B,short,2.25,11,AG,1.98,1,3,1.2,plot23; gps 073
MC-11,B,short,2.25,12,AG,1.78,0.7,2.1,0.4,plot23; gps 073
MC-11,B,short,2.25,13,AG,1.4,0.6,1.8,1.2,plot23; gps 073
MC-11,B,short,2.25,14,AG,2.44,2.3,4.6,2.4,plot23; gps 073
MC-11,B,short,2.25,15,AG,2.08,1.2,2.1,0.8,plot23; gps 073
MC-11,B,short,2.25,16,AG,1.84,1.2,2.1,0.8,plot23; gps 073
MC-11,B,short,2.25,17,AG,1.5,1.3,2.2,2.5,plot23; gps 073
MC-11,B,short,2.25,18,AG,1.72,1,2,0.8,plot23; gps 073
MC-11,B,short,2.25,19,AG,1.78,0.9,2.5,1.5,plot23; gps 073
MC-11,B,short,2.25,20,AG,1.52,0.8,1.7,0.7,plot23; gps 073
MC-11,B,short,2.25,21,AG,0.9,NA,2,1.3,plot23; gps 073
MC-11,B,short,2.25,22,AG,0.85,NA,1.5,1.4,plot23; gps 073
MC-11,C,short,2.25,1,AG,1.05,NA,1.7,1.1,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,2,AG,1,NA,1.5,0.4,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,3,AG,1.35,NA,1.5,0.5,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,4,AG,1.96,1.3,3.5,1.5,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,5,AG,1.87,NA,3.7,1.5,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,6,AG,1.78,0.7,1.8,0.6,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,7,AG,1,NA,2.1,1,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,8,AG,1.25,NA,1.7,0.8,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,9,AG,1.93,1.1,2.8,0.6,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,10,AG,1.7,0.9,2.5,0.9,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,11,AG,1.2,NA,1.2,0.4,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,12,AG,1.25,NA,0.9,0.5,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,13,AG,1.5,0.3,1.9,0.8,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,14,RM,1.2,1.5,NA,0.6,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,15,AG,1.64,0.7,2.5,0.7,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,16,AG,1.92,1.1,1.7,0.7,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,17,AG,1.65,0.6,2.4,0.5,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,18,AG,1.86,1,1.6,0.9,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,19,AG,1.83,1.5,2.2,0.6,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,20,AG,1.66,0.6,1.5,0.8,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,21,AG,1.5,0.6,1.7,0.6,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,22,AG,1.66,0.6,1.7,1,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,23,AG,1.1,NA,1.1,0.2,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,24,AG,1.2,NA,1.5,0.9,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,25,AG,0.8,NA,1,0.6,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,26,AG,1.84,1,1.5,0.5,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,27,AG,1.48,0.5,2.3,1,plot 22; gps 072; measured 1.5x1.5
MC-11,C,short,2.25,28,AG,1.25,NA,1.3,0.8,plot 22; gps 072; measured 1.5x1.5
MC-12,A,short,9,1,LR,1.62,NA,8,1.94,plot 26; gps 077
MC-12,A,short,9,2,LR,1.05,NA,3.7,1,plot 26; gps 077
MC-12,A,short,9,3,LR,1.1,NA,3.2,0.7,plot 26; gps 077
MC-12,A,short,9,4,LR,0.6,NA,1.9,0.7,plot 26; gps 077
MC-12,A,short,9,5,LR,1.05,NA,1.9,1.8,plot 26; gps 077
MC-12,A,short,9,6,LR,1.45,NA,5,1,plot 26; gps 077
MC-12,A,short,9,7,LR,1.1,NA,1.6,1,plot 26; gps 077
MC-12,A,short,9,8,LR,1.5,NA,2.8,0.8,plot 26; gps 077
MC-12,A,short,9,9,LR,1.2,NA,3.7,2,plot 26; gps 077
MC-12,A,short,9,10,LR,1.2,NA,1.5,0.7,plot 26; gps 077
MC-12,A,short,9,11,LR,1.25,NA,2.5,0.55,plot 26; gps 077
MC-12,A,short,9,12,LR,0.95,NA,1.4,0.6,plot 26; gps 077
MC-12,A,short,9,13,LR,1.48,NA,5.2,1.78,plot 26; gps 077
MC-12,A,short,9,14,LR,1.25,NA,3,1.1,plot 26; gps 077
MC-12,B,short,9,1,LR,1.15,NA,5.2,1.7,plot 25; gps 076
MC-12,B,short,9,2,LR,1.28,NA,4.5,1.6,plot 25; gps 076
MC-12,B,short,9,3,LR,1.13,NA,2.3,0.8,plot 25; gps 076
MC-12,B,short,9,4,LR,1.1,NA,1.8,1.5,plot 25; gps 076
MC-12,B,short,9,5,LR,1.25,NA,8.4,1.96,plot 25; gps 076
MC-12,B,short,9,6,LR,0.85,NA,2.6,0.7,plot 25; gps 076
MC-12,B,short,9,7,LR,0.9,NA,3.3,1.1,plot 25; gps 076
MC-12,B,short,9,8,LR,1.35,NA,4.2,1.3,plot 25; gps 076
MC-12,C,short,2.25,1,LR,1.48,1.8,3.7,1.5,plot 24; gps 075
MC-12,C,short,2.25,2,LR,1.67,1.8,4.3,1.5,plot 24; gps 075
MC-12,C,short,2.25,3,LR,1.3,NA,1.2,0.6,plot 24; gps 075
MC-12,C,short,2.25,4,LR,0.6,NA,0.9,0.2,plot 24; gps 075
MC-12,C,short,2.25,5,LR,1.45,0.5,2,0.5,plot 24; gps 075
MC-12,C,short,2.25,6,LR,1.7,1.2,3.3,0.7,plot 24; gps 075
MC-15,A,small/short,9,1,LR,1.2,1.9,NA,0.8,plot 13; gps:063
MC-15,A,small/short,9,2,LR,1.05,1.2,NA,0.6,plot 13; gps:063
MC-15,A,small/short,9,3,LR,1.25,4.4,NA,1.3,plot 13; gps:063
MC-15,A,small/short,9,4,LR,1,1.7,NA,0.5,plot 13; gps:063
MC-15,A,small/short,9,5,LR,1.25,1.7,NA,0.3,plot 13; gps:063
MC-15,A,small/short,9,6,LR,1.2,3.2,NA,1,plot 13; gps:063
MC-15,A,small/short,9,7,LR,1.25,4,NA,1.5,plot 13; gps:063
MC-15,A,small/short,9,8,AG,2.21,2.2,NA,3.16,plot 13; gps:063
MC-15,A,small/short,9,9,AG,1.33,NA,1.7,1.6,plot 13; gps:063
MC-15,A,small/short,9,10,AG,1.3,NA,1.9,0.4,plot 13; gps:063
MC-15,A,small/short,9,11,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,12,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,13,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all; D @ 0.3 cm
MC-15,A,small/short,9,14,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,15,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,16,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,17,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,18,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,19,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,20,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,21,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,A,small/short,9,22,LR,0.95,NA,1.75,0.3,12 small LG where I estimated avg for them all
MC-15,B,small/short,9,1,AG,2.2,3.5,NA,1.88,plot 14; GPs: 064
MC-15,B,small/short,9,2,AG,2.1,2.5,NA,1.5,plot 14; GPs: 064
MC-15,B,small/short,9,3,AG,2.1,2.7,NA,1.65,plot 14; GPs: 064
MC-15,B,small/short,9,4,LR,1,NA,1.5,0.4,plot 14; GPs: 064
MC-15,B,small/short,9,5,LR,0.7,NA,1.7,0.2,plot 14; GPs: 064
MC-15,B,small/short,9,6,LR,0.7,NA,0.6,0.3,plot 14; GPs: 064
MC-15,B,small/short,9,7,AG,1.9,2.6,NA,3.2,plot 14; GPs: 064
MC-15,B,small/short,9,8,AG,1.55,1.1,NA,2,plot 14; GPs: 064
MC-15,B,small/short,9,9,AG,1.25,2.8,NA,2.6,plot 14; GPs: 064
MC-15,B,small/short,9,10,LR,1,NA,2.2,1,plot 14; GPs: 064
MC-15,B,small/short,9,11,LR,0.9,NA,1.9,0.5,plot 14; GPs: 064
MC-15,B,small/short,9,12,LR,0.6,NA,1.3,0.3,plot 14; GPs: 064
MC-15,B,small/short,9,13,LR,0.8,NA,1.1,0.3,plot 14; GPs: 064
MC-15,B,small/short,9,14,LR,0.9,NA,1.6,0.4,plot 14; GPs: 064
MC-15,C,small/short,9,1,AG,1.33,NA,2.5,1,plot 15; gps 065
MC-15,C,small/short,9,2,LR,1.1,NA,2,0.7,plot 15; gps 065
MC-15,C,small/short,9,3,LR,0.8,NA,1.9,0.55,plot 15; gps 065
MC-15,C,small/short,9,4,LR,0.85,NA,2.1,0.7,plot 15; gps 065
MC-15,C,small/short,9,5,AG,1,NA,2.2,1,plot 15; gps 065
MC-15,C,small/short,9,6,AG,1.67,0.7,NA,2.4,plot 15; gps 065
MC-15,C,small/short,9,7,AG,1.5,0.7,NA,0.4,plot 15; gps 065
MC-15,C,small/short,9,8,AG,1.1,NA,1.7,0.5,plot 15; gps 065
MC-15,C,small/short,9,9,AG,1.15,NA,2.2,0.85,plot 15; gps 065
MC-15,C,small/short,9,10,AG,0.6,NA,1.5,0.7,plot 15; gps 065
MC-15,C,small/short,9,11,AG,1.95,2.1,NA,1.92,plot 15; gps 065; split stem
MC-15,C,small/short,9,12,AG,2,2.2,NA,3,plot 15; gps 065
MC-15,C,small/short,9,13,AG,2.17,2.4,NA,1.93,plot 15; gps 065
MC-16,A,small/short,9,1,LR,0.8,NA,4.1,1.2,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,2,LR,0.8,NA,1.5,0.4,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,3,LR,0.95,NA,1.5,2.6,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,4,LR,1,NA,3.5,1.1,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,5,LR,1.1,NA,8.5,1.86,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,6,LR,1.1,NA,1.3,0.5,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,7,LR,1,NA,1.5,0.5,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,8,LR,1.1,NA,1.8,0.5,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,9,LR,0.9,NA,2,0.8,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,10,LR,1.05,NA,2.3,1,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,11,LR,1.1,NA,2.1,0.8,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,12,LR,1,NA,2.8,0.9,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,13,LR,0.9,NA,5.1,1.2,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,14,LR,0.9,NA,2.4,0.5,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,15,LR,1.04,NA,1.6,0.6,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,16,LR,0.9,NA,3.2,0.8,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,17,LR,1.2,NA,4.5,1.1,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,18,LR,1.05,NA,1.6,0.5,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,19,LR,0.9,NA,2.3,0.6,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,20,LR,0.9,NA,2,1.3,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,21,LR,0.75,NA,1.3,0.6,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,22,LR,0.7,NA,1.2,0.5,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,23,LR,1,NA,1.9,0.6,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,24,LR,1.1,NA,3.3,0.8,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,25,LR,0.9,NA,4.2,1.1,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,26,LR,1.1,NA,3.5,0.8,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,27,LR,0.9,NA,2.9,0.6,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,28,LR,1.1,NA,1.25,2.7,plot 18; gps 068; think we measured all in 3x3
MC-16,A,small/short,9,29,LR,2.7,3.2,NA,0.6,plot 18; gps 068; think we measured all in 3x3
MC-16,B,small/short,9,1,LR,1.56,0.7,5,1.5,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,2,LR,1.5,0.5,4.9,1.3,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,3,LR,1.6,0.6,4,1,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,4,LR,1.4,NA,4.9,1.5,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,5,LR,1.4,NA,4.1,1.4,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,6,LR,1,NA,1.9,0.5,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,7,LR,1.1,NA,5.5,1.1,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,8,LR,1.1,NA,7.6,2.3,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,9,LR,0.9,NA,3.4,1.5,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,10,LR,1.25,NA,3.7,0.8,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,11,LR,1.25,NA,3.2,0.6,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,12,LR,1.3,NA,5.2,1.56,plot16; gps 067; think we measured all in 3x3
