"Data set title: Christopher B. Craft. 2017. Forest survey of species richness and basal area for two tidal forest plots in December 2013. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCED-1711a; http://gce-lter.marsci.uga.edu/public/app/dataset_details.asp?accession=PLT-GCED-1711a)",,,,,,
,,,,,,,
"Site_Code","Plot","Quadrant","Tree_Species","DBH","Tag_Number","BasalArea"
"GCE11",2,"SW","NyAq",34,,0.091
"GCE11",2,"SW","NyAq",33,,0.086
"GCE11",2,"SW","NyAq",11,,0.010
"GCE11",2,"SW","NyAq",29,,0.066
"GCE11",2,"SW","NyAq",19,,0.028
"GCE11",2,"SW","NyAq",15,,0.018
"GCE11",2,"SW","NyAq",32,,0.080
"GCE11",2,"SW","NyAq",24,,0.045
"GCE11",2,"SW","NyAq",21,,0.035
"GCE11",1,"N","NyBi",19,13,0.028
"GCE11",1,"N","NyBi",37,,0.108
"GCE11",1,"N","NyBi",15,,0.018
"GCE11",1,"N","NyBi",10,,0.008
"GCE11",1,"N","NyBi",18,,0.025
"GCE11",1,"N","NyBi",11,,0.010
"GCE11",1,"N","NyBi",13,,0.013
"GCE11",1,"N","NyBi",13,,0.013
"GCE11",1,"N","NyBi",14,,0.015
"GCE11",1,"N","NyBi",10,,0.008
"GCE11",1,"N","NyBi",28,,0.062
"GCE11",1,"N","NyBi",32,,0.080
"GCE11",1,"N","NyBi",11,,0.010
"GCE11",1,"N","NyBi",15,5,0.018
"GCE11",1,"N","NyBi",11,,0.010
"GCE11",1,"N","NyBi",38,,0.113
"GCE11",1,"N","NyBi",13,,0.013
"GCE11",1,"N","NyBi",21,,0.035
"GCE11",1,"N","NyBi",19,,0.028
"GCE11",1,"W","NyBi",25,,0.049
"GCE11",1,"W","NyBi",12,,0.011
"GCE11",1,"W","NyBi",17,,0.023
"GCE11",1,"E","NyBi",27,,0.057
"GCE11",1,"E","NyBi",29,,0.066
"GCE11",1,"E","NyBi",60,,0.283
"GCE11",1,"S","NyBi",63,,0.312
"GCE11",2,"NE","NyBi",16,,0.020
"GCE11",2,"SE","NyBi",41,,0.132
"GCE11",2,"SE","NyBi",11,,0.010
"GCE11",2,"SE","NyBi",10,,0.008
"GCE11",1,"W","Oak",23,,0.042
"GCE11",2,"NE","Oak",21,,0.035
"GCE11",1,"E","QuLy",36,,0.102
"GCE11",2,"SE","QuLy",16,,0.020
"GCE11",1,"N","TaDi",43,11,0.145
"GCE11",1,"N","TaDi",14,,0.015
"GCE11",1,"N","TaDi",38,16,0.113
"GCE11",1,"E","TaDi",105,,0.866
"GCE11",2,"NE","TaDi",50,31,0.196
"GCE11",2,"NE","TaDi",36,32,0.102
"GCE11",2,"NW","TaDi",54,40,0.229
